custcode,Mar,Apr,May,firstAccum,firstTrend,SecondTrend,AvgFirstTrend,Jun,Jul,Aug,SecondAccum,ThirdTrend,FourthTrend,SecondAvgTrend,AccumTrend
6802085AY,"41,967","45,012","46,256","133,235",0.93,0.97,0.95,"129,449",,,"129,449",0,0,0,0.97
6803001AY,"1,583",,,"1,583",0,0,0,,,,0,0,0,0,0
6803002AY,221,,,221,0,0,0,,,,0,0,0,0,0
6803002TS,,,509,509,0,0,0,,,,0,0,0,0,0
6803003AY,"5,929","9,595",,"15,524",0.62,0,0.31,,,,0,0,0,0,0
6803004AY,"3,154",,,"3,154",0,0,0,,,,0,0,0,0,0
6803005AY,467,,,467,0,0,0,,,,0,0,0,0,0
6803007AY,398,,,398,0,0,0,,,,0,0,0,0,0
6803008AY,"1,014",,,"1,014",0,0,0,,"1,014",,"1,014",0,0,0,1
6803009AY,"60,708","42,914",,"103,622",1.41,0,0.705,,,,0,0,0,0,0
6803011AY,"18,244",,,"18,244",0,0,0,,,,0,0,0,0,0
6803012AY,408,,"1,469","1,877",0,0,0,,,,0,0,0,0,0
6803013RB,"1,486",,,"1,486",0,0,0,,,,0,0,0,0,0
6803014AY,442,864,,"1,306",0.51,0,0.255,,,,0,0,0,0,0
6803015AY,"1,079",,,"1,079",0,0,0,,,,0,0,0,0,0
6803016AY,187,"56,612","6,922","63,721",0,8.18,4.09,,,,0,0,0,0,0
6803017AY,808,,,808,0,0,0,,,,0,0,0,0,0
6803018AY,588,,,588,0,0,0,,,,0,0,0,0,0
6803019AY,873,,,873,0,0,0,,,,0,0,0,0,0
6803020AY,79,,,79,0,0,0,,65,,65,0,0,0,0.83
6803021AY,"20,440",,,"20,440",0,0,0,,"46,763","16,735","63,497",0,0.36,0.18,3.11
6803022AY,"1,940",,,"1,940",0,0,0,,,,0,0,0,0,0
6803023AY,"8,533",683,"1,310","10,526",12.49,0.52,6.505,"2,839",,505,"3,343",0,0,0,0.32
6803024AY,,"7,920",,"7,920",0,0,0,,,,0,0,0,0,0
6803025AY,"2,141",,,"2,141",0,0,0,,,,0,0,0,0,0
6803026AY,"8,734",,,"8,734",0,0,0,,,,0,0,0,0,0
6803027AY,156,,,156,0,0,0,,,,0,0,0,0,0
6803028AY,"1,799",,,"1,799",0,0,0,,,,0,0,0,0,0
6803029AY,"5,452",,,"5,452",0,0,0,,,,0,0,0,0,0
6803030AY,841,,,841,0,0,0,,,,0,0,0,0,0
6803031AY,916,,,916,0,0,0,,,,0,0,0,0,0
6803032AY,"2,691",,,"2,691",0,0,0,,,,0,0,0,0,0
6803032SB,,,703,703,0,0,0,,,,0,0,0,0,0
6803033AY,"25,772",,,"25,772",0,0,0,,,,0,0,0,0,0
6803033NS,,,,0,0,0,0,,,"6,538","6,538",0,0,0,0
6803034AY,"3,791",,,"3,791",0,0,0,,,,0,0,0,0,0
6803035AY,"1,351",159,"1,925","3,435",8.5,0.08,4.29,405,,,405,0,0,0,0.12
6803035NS,,,"4,964","4,964",0,0,0,,,,0,0,0,0,0
6803036AY,"3,694",,,"3,694",0,0,0,,,,0,0,0,0,0
6803037AY,695,,,695,0,0,0,,,,0,0,0,0,0
6803038AY,"14,064",,,"14,064",0,0,0,,"11,048",407,"11,455",0,0.04,0.02,0.81
6803040AY,"34,807","7,243","4,477","46,527",4.81,1.62,3.215,"9,505",,"31,369","40,874",0,0,0,0.88
6803041AY,407,332,,739,1.23,0,0.615,,,,0,0,0,0,0
6803041RB,,,"2,046","2,046",0,0,0,,,,0,0,0,0,0
6803042AY,,"2,664","9,546","12,210",0,0.28,0.14,,"1,356",,"1,356",0,0,0,0.11
6803043AY,"20,823",,,"20,823",0,0,0,,,,0,0,0,0,0
6803044AY,"3,575",,,"3,575",0,0,0,,,,0,0,0,0,0
6803045AY,"2,494",,,"2,494",0,0,0,,,,0,0,0,0,0
6803046AY,,,,0,0,0,0,"3,927",,,"3,927",0,0,0,0
6803047AY,504,,983,"1,487",0,0,0,,360,936,"1,295",0,2.6,1.3,0.87
6803048AY,718,,,718,0,0,0,,,520,520,0,0,0,0.72
6803048SB,,,"16,741","16,741",0,0,0,,,,0,0,0,0,0
6803049AY,"2,221","4,039","1,076","7,336",0.55,3.75,2.15,"1,618","2,110",,"3,729",1.3,0,0.65,0.51
6803050AY,"11,963","10,467",,"22,430",1.14,0,0.57,,,,0,0,0,0,0
6803051AY,"6,121",,,"6,121",0,0,0,,,,0,0,0,0,0
6803052AY,"2,240",,,"2,240",0,0,0,,,,0,0,0,0,0
6803053AY,855,205,,"1,060",4.17,0,2.085,,,,0,0,0,0,0
6803054AY,238,,,238,0,0,0,,,,0,0,0,0,0
6803055AY,"3,252",,,"3,252",0,0,0,,,,0,0,0,0,0
6803056AY,"1,234",,,"1,234",0,0,0,,,,0,0,0,0,0
6803057AY,"6,123","2,777",,"8,900",2.2,0,1.1,"35,764","90,639","24,419","150,822",2.53,0.27,1.4,16.95
6803058AY,"13,590",,,"13,590",0,0,0,,,"1,834","1,834",0,0,0,0.13
6803059AY,"1,014",,,"1,014",0,0,0,761,,,761,0,0,0,0.75
6803060AY,"2,418","3,256",,"5,674",0.74,0,0.37,"3,665",640,351,"4,657",0.17,0.55,0.36,0.82
6803061AY,210,,,210,0,0,0,,,,0,0,0,0,0
6803063AY,,"1,477",,"1,477",0,0,0,,,,0,0,0,0,0
6803064AY,383,698,"2,341","3,422",0.55,0.3,0.425,"1,598","4,022","1,937","7,558",2.52,0.48,1.5,2.21
6803065AY,"8,573",,,"8,573",0,0,0,,,,0,0,0,0,0
6803066AY,"1,710",,,"1,710",0,0,0,,,,0,0,0,0,0
6803067AY,538,,,538,0,0,0,,,,0,0,0,0,0
6803068AY,204,,,204,0,0,0,,,,0,0,0,0,0
6803069AY,,"1,780",,"1,780",0,0,0,,,,0,0,0,0,0
6803070AY,459,81,,540,5.67,0,2.835,,,,0,0,0,0,0
6803071AY,,"4,505",,"4,505",0,0,0,,,,0,0,0,0,0
6803072AY,90,,,90,0,0,0,,,,0,0,0,0,0
6803073AY,979,312,,"1,291",3.14,0,1.57,,,,0,0,0,0,0
6804002AY,,"3,157",,"3,157",0,0,0,,,,0,0,0,0,0
6804003AY,,566,376,942,0,1.51,0.755,,,,0,0,0,0,0
6804004AY,,"5,206",,"5,206",0,0,0,,,,0,0,0,0,0
6804005AY,,743,,743,0,0,0,,,,0,0,0,0,0
6804006AY,,"16,390","10,794","27,184",0,1.52,0.76,"4,584",,"7,548","12,132",0,0,0,0.45
6804007AY,,"6,585",,"6,585",0,0,0,,,,0,0,0,0,0
6804008AY,,"1,235",,"1,235",0,0,0,,,,0,0,0,0,0
6804009AY,,"4,243",,"4,243",0,0,0,,,,0,0,0,0,0
6804010AY,,"3,975",,"3,975",0,0,0,,,,0,0,0,0,0
6804010BS,,679,"2,471","3,150",0,0.27,0.135,"1,772","1,738",,"3,510",0.98,0,0.49,1.11
6804011AY,,654,,654,0,0,0,,,,0,0,0,0,0
6804012AY,,"1,355",632,"1,987",0,2.14,1.07,,,,0,0,0,0,0
6804013AY,,,,0,0,0,0,,,"28,893","28,893",0,0,0,0
6804014AY,,"1,199",,"1,199",0,0,0,,,"13,850","13,850",0,0,0,11.55
6804015AY,,"3,180",,"3,180",0,0,0,,,,0,0,0,0,0
6804017AY,,"71,373","5,108","76,481",0,13.97,6.985,,,"11,984","11,984",0,0,0,0.16
6804018AY,,,,0,0,0,0,"104,972",,,"104,972",0,0,0,0
6804019AY,,916,,916,0,0,0,,,"1,832","1,832",0,0,0,2
6804020AY,,192,,192,0,0,0,,,,0,0,0,0,0
6804021AY,,"14,617",,"14,617",0,0,0,"5,857",,,"5,857",0,0,0,0.4
6804022AY,,"17,360","31,459","48,819",0,0.55,0.275,,"1,535",,"1,535",0,0,0,0.03
6804022TR,,,,0,0,0,0,,,"2,173","2,173",0,0,0,0
6804023AY,,"1,125",,"1,125",0,0,0,,,,0,0,0,0,0
6804024AY,,"3,328",,"3,328",0,0,0,,,,0,0,0,0,0
6804025AY,,396,,396,0,0,0,,,,0,0,0,0,0
6804026AY,,"2,972",,"2,972",0,0,0,,,,0,0,0,0,0
6804027AY,,707,,707,0,0,0,,,,0,0,0,0,0
6804028AY,,887,778,"1,665",0,1.14,0.57,941,,,941,0,0,0,0.57
6804029KK,,,737,737,0,0,0,,,,0,0,0,0,0
6804030AY,,"1,785","1,963","3,748",0,0.91,0.455,,,,0,0,0,0,0
6804031AY,,"2,523",,"2,523",0,0,0,,,,0,0,0,0,0
6804032AY,,359,,359,0,0,0,,,,0,0,0,0,0
6804033AY,,"1,957",,"1,957",0,0,0,,,,0,0,0,0,0
6804034AY,,"2,512","1,262","3,774",0,1.99,0.995,,,,0,0,0,0,0
6804035AY,,"1,873",,"1,873",0,0,0,,,,0,0,0,0,0
6804036AY,,643,,643,0,0,0,,,,0,0,0,0,0
6804037AY,,"4,816",,"4,816",0,0,0,"2,695",,,"2,695",0,0,0,0.56
6804038AY,,"2,112",,"2,112",0,0,0,,,674,674,0,0,0,0.32
6804039AY,,"3,225",,"3,225",0,0,0,,,,0,0,0,0,0
6804040AY,,187,,187,0,0,0,,,,0,0,0,0,0
6804041AY,,727,,727,0,0,0,,,,0,0,0,0,0
6804042AY,,"64,514","59,122","123,636",0,1.09,0.545,695,366,,"1,062",0.53,0,0.265,0.01
6804043AY,,"4,212",,"4,212",0,0,0,,,,0,0,0,0,0
6804044AY,,"38,145",,"38,145",0,0,0,,,,0,0,0,0,0
6804045AY,,"6,626","11,227","17,853",0,0.59,0.295,"2,204","18,071",,"20,274",8.2,0,4.1,1.14
6804046AY,,"7,152",,"7,152",0,0,0,,"1,673",,"1,673",0,0,0,0.23
6804047AY,,64,,64,0,0,0,,,,0,0,0,0,0
6804048AY,,"2,344",,"2,344",0,0,0,,,,0,0,0,0,0
6804049AY,,"4,573","1,468","6,041",0,3.12,1.56,,425,,425,0,0,0,0.07
6804050AY,,"3,778",,"3,778",0,0,0,,,,0,0,0,0,0
6804051AY,,"2,148",,"2,148",0,0,0,,,,0,0,0,0,0
6804052AY,,159,,159,0,0,0,,,,0,0,0,0,0
6804053AY,,393,,393,0,0,0,,,,0,0,0,0,0
6804054AY,,"2,477","1,163","3,640",0,2.13,1.065,,,,0,0,0,0,0
6804055AY,,111,,111,0,0,0,,,,0,0,0,0,0
6804056AY,,,,0,0,0,0,617,,,617,0,0,0,0
6804057AY,,"6,357",,"6,357",0,0,0,,,"5,621","5,621",0,0,0,0.88
6804058AY,,695,,695,0,0,0,,,,0,0,0,0,0
6804059AY,,"1,391",,"1,391",0,0,0,,,,0,0,0,0,0
6804060AY,,"2,814",,"2,814",0,0,0,,533,,533,0,0,0,0.19
6804061AY,,"7,673",,"7,673",0,0,0,"10,589",,"1,720","12,308",0,0,0,1.6
6804062AY,,"2,664",,"2,664",0,0,0,,,,0,0,0,0,0
6804063AY,,678,,678,0,0,0,,,,0,0,0,0,0
6804064AY,,,330,330,0,0,0,,,,0,0,0,0,0
6804065AY,,,750,750,0,0,0,,,,0,0,0,0,0
6804066AY,,,65,65,0,0,0,,,,0,0,0,0,0
6804067AY,,"7,477",,"7,477",0,0,0,,,,0,0,0,0,0
6804068AY,,869,58,927,0,14.98,7.49,,,,0,0,0,0,0
6804069AY,,563,,563,0,0,0,,,,0,0,0,0,0
6804071AY,,"4,041",,"4,041",0,0,0,,,,0,0,0,0,0
6804072AY,,"1,772",,"1,772",0,0,0,"5,536",,,"5,536",0,0,0,3.12
6805002AY,,,"6,545","6,545",0,0,0,,,,0,0,0,0,0
6805003AY,,,461,461,0,0,0,,,,0,0,0,0,0
6805004AY,,,364,364,0,0,0,,,,0,0,0,0,0
6805005AY,,,"11,982","11,982",0,0,0,,,,0,0,0,0,0
6805006AY,,,79,79,0,0,0,,,,0,0,0,0,0
6805007AY,,,"1,028","1,028",0,0,0,,,,0,0,0,0,0
6805008AY,,,"3,644","3,644",0,0,0,,,,0,0,0,0,0
6805009AY,,,"43,593","43,593",0,0,0,164,,,164,0,0,0,0
6805010AY,,,"1,989","1,989",0,0,0,,,"3,101","3,101",0,0,0,1.56
6805011AY,,,"12,940","12,940",0,0,0,"11,285",,,"11,285",0,0,0,0.87
6805012AY,,,"26,551","26,551",0,0,0,84,,,84,0,0,0,0
6805013AY,,,,0,0,0,0,"4,748",,,"4,748",0,0,0,0
6805014AY,,,"1,772","1,772",0,0,0,,,,0,0,0,0,0
6805016AY,,,"29,945","29,945",0,0,0,"28,997",,"1,192","30,189",0,0,0,1.01
6805017AY,,,280,280,0,0,0,"8,000","2,424",738,"11,162",0.3,0.3,0.3,39.86
6805017KK,,,,0,0,0,0,"8,113",,,"8,113",0,0,0,0
6805018AY,,,56,56,0,0,0,,,,0,0,0,0,0
6805019AY,,,534,534,0,0,0,,,,0,0,0,0,0
6805020AY,,,"1,944","1,944",0,0,0,,,,0,0,0,0,0
6805021AY,,,"2,808","2,808",0,0,0,,,,0,0,0,0,0
6805022AY,,,"2,710","2,710",0,0,0,,654,,654,0,0,0,0.24
6805023AY,,,"12,422","12,422",0,0,0,"8,805","1,884",,"10,689",0.21,0,0.105,0.86
6805024AY,,,514,514,0,0,0,"3,898",,,"3,898",0,0,0,7.58
6805026AY,,,"2,846","2,846",0,0,0,,,,0,0,0,0,0
6805027AY,,,"5,090","5,090",0,0,0,,"8,631","7,744","16,375",0,0.9,0.45,3.22
6805028AY,,,355,355,0,0,0,,,,0,0,0,0,0
6805029AY,,,308,308,0,0,0,,,,0,0,0,0,0
6805030AY,,,"1,280","1,280",0,0,0,,"7,200","3,734","10,934",0,0.52,0.26,8.54
6805031AY,,,"5,725","5,725",0,0,0,"9,348",,303,"9,651",0,0,0,1.69
6805032AY,,,"2,180","2,180",0,0,0,,,,0,0,0,0,0
6805033AY,,,"21,761","21,761",0,0,0,"2,574",,,"2,574",0,0,0,0.12
6805035AY,,,"18,815","18,815",0,0,0,"10,595","1,419",,"12,014",0.13,0,0.065,0.64
6805036AY,,,902,902,0,0,0,,,,0,0,0,0,0
